"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Czech Republic","CZE","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1613589","1657948","1580321","1585582","1691608","1681285","1594098","1653115","1628580","1567203","1463634","1613601","1615523","1535586","1582060","1561343","1544398","1467382","1470490","1455871","",
"Germany","DEU","Land under cereal production (hectares)","AG.LND.CREL.HA","","7138919","7145685","7168885","7285822","7229500","7207233","7286316","7431223","7499085","7470600","7571500","7633527","7662538","7743113","7805553","7816354","7800601","7878846","7723359","7737979","7614540","7583943","7582053","7512692","7403403","7327154","7157693","7138343","7087608","6944862","6559820","6514452","6225212","6235246","6526735","6707515","7024879","7031633","6638210","7015663","7045731","6940982","6839431","6946946","6839000","6702200","6571690","7038419","6918445","6595925","6491300","6513300","",
"Djibouti","DJI","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","2","2","2","3","4","6","6","6.5","3","6","6","6","6","6","6","6","6","6","6","6","7","6","6","6","6","6","7","8","9","9","7","7","",
"Dominica","DMA","Land under cereal production (hectares)","AG.LND.CREL.HA","","110","110","115","115","120","120","125","125","130","130","135","135","140","140","150","150","150","150","155","160","165","170","180","170","150","150","130","120","120","110","107","129","120","130","131","154","184","160","139","146","145","136","135","141","140","112","145","131","176","120","80","90","",
"Denmark","DNK","Land under cereal production (hectares)","AG.LND.CREL.HA","","1536555","1541998","1569717","1567605","1596967","1604664","1637727","1685196","1704169","1738944","1756753","1776923","1761836","1732993","1719594","1787311","1821271","1845072","1850217","1816317","1787302","1767772","1697885","1674107","1600599","1578349","1498961","1586765","1561598","1570303","1561552","1611927","1444000","1410350","1454400","1523000","1535200","1530166","1496784","1514258","1538062","1527934","1484586","1490600","1508600","1493900","1448300","1513200","1499300","1498900","1484100","1490400","",
"Dominican Republic","DOM","Land under cereal production (hectares)","AG.LND.CREL.HA","","93320","91000","91400","96600","103000","104000","108625","118736","115600","112928","104000","96800","95700","101332","118506","152460","152851","154449","149753","150747","146215","131252","146607","185795","168012","146304","161772","147962","154952","122179","127332","153138","124110","124115","142473","142408","134724","148118","151326","147422","179057","176390","164259","162322","180108","174845","178542","179965","206348","209185.23","198098","203488","",
"Algeria","DZA","Land under cereal production (hectares)","AG.LND.CREL.HA","","2708623","2911300","2891420","2805810","2862350","1921790","2600270","3017870","3012480","3228170","2952400","3517530","3232850","2973050","3171240","3349880","2780260","2624990","2886660","3181380","2836390","2569300","2227560","2670070","3198670","2871100","2719150","1808540","2638170","2365999","3418278","3530507","1959575","1287476","2579671","3663945","1115670","3575557","1888825","1058047","2402583","1845105","2901562","3000600","2350515","2672157","2873827","1485453","3176300","2856502","2584714","3062449","",
"East Asia & Pacific (developing only)","EAP","Land under cereal production (hectares)","AG.LND.CREL.HA","","125382347","126900910","126972009","131203379","129236729","133203763","130422101","130051114","130894738","133180763","136441103","134761863","137950271","137967688","139810241","139947803","139698934","141632804","139300213","140125351","138382085","134634161","138655164","138559928","135919493","137533108","135785195","138018904","140523400","141692739","141597484","141910791","137929016","136798743","140483603","143915107","143395020","143649223","145708590","138821920","135976663","134236521","130755110","133697595","137709749","139410217","143373674","145481696","148911247","151764926.69","152045642.06","156215636.5","",
"East Asia & Pacific (all income levels)","EAS","Land under cereal production (hectares)","AG.LND.CREL.HA","","141735231","143904251","143940531","148667477","146717665","152165484","149673067","151493422","150886927","150410107","154299410","152334069","156649367","155705376","158461184","158999550","160131516","162336193","160294928","160961894","160491406","155960621","162698769","161526755","158220278","158353673","154546784","156231821","158599266","159771121","157757229","159591269","155818669","153248834","159256356","164641394","163340918","164210298","166219733","160100307","157210531","155373354","154211713","157466953","160296142","161222188","166629649","169707527","172687184","174516398.69","174365820.06","178914674.5","",
"Europe & Central Asia (developing only)","ECA","Land under cereal production (hectares)","AG.LND.CREL.HA","","26087857","25756957","25622806","25690074","25590326","25624189","25347574","25560096","25596625","24570610","25129496","25050444","24173471","24758906","25553454","25596395","25485005","25168920","25497702","24983116","25101863","24817716","24766806","24942191","25065733","25279176","24846612","24955532","24845946","24499001","25310717","69029791","70708230","67975725","65015644","62316653","64839673","59378082","56823865","59201690","63418328","63142413","58021573","63990264","63077937.3","60815481","60100277","63150903.2","64793997","61238643.3","62737287.42","62048097.3","",
"Europe & Central Asia (all income levels)","ECS","Land under cereal production (hectares)","AG.LND.CREL.HA","","78340797","78678457","78060768","78238711","78079360","77448769","77455534","78414546","78529747","77199753","77857992","77856243","76299862","77157091","76931494","77140996","76261551","77267256","77190089","76946796","76412327","76564192","76003980","76578913","76192753","76159355","75061213","75032638","75013053","73395600","73977186","178938038","179683775","171452413","165737390","162561956","166583774","148058007","144611650","152542669","157670082","157668418","144902561","155705512","154410864.3","150409952","149464703","159480707.2","156438555","141633957.3","151314573.04","147044993.3","",
"Ecuador","ECU","Land under cereal production (hectares)","AG.LND.CREL.HA","","504534","567973","598034","650732","640901","591684","706492","587030","614933","595413","612063","626234","494759","495507","542225","564825","461054","330304","396097","414747","444800","418234","358299","442254","431368","817236","853392","845168","819720","802193","862490","918400","970500","998960","986190","1048830","963300","759625","869771","854223","865691","844987","785115","892221","810795","805174","867353","767134","822089","800581","727462","809659.05","",
